"stop_id","stopa_name","lat","lng"
"1571","Airlines Dhaba Gate(towards - Devanahalli)","13.22268882","77.74080664"
"1563","Airport Trumpet(towards - Devanahalli Bus Station)","13.19918532","77.65806901"
"1639","Airport Trumpet(towards - Yelahanka)","13.19875076","77.65773758"
"6975","Aishwarya Appartments(towards - Parangipalya)","12.90322149","77.64867827"
"6976","Aishwarya Appartments(towards - ITI Layout)","12.90322281","77.64878288"
"5164","Aiyyappaswamy Temple Madiwala(towards - Madiwala)","12.92488283","77.61804342"
"51","Aiyyappaswamy Temple Madiwala(towards - Dairy Circle)","12.92472759","77.61791906"
"8851","Ajjagondanahalli(towards - Varthur)","12.95707961","77.76840068"
"8850","Ajjagondanahalli(towards - Harohalli)","12.95708745","77.76840001"
"11940","Ajjanahalli","12.91665557","77.38639176"
"11425","Ajmera Infinity Apartments(towards - Apartment)","12.84183906","77.64680743"
"11426","Ajmera Infinity Apartments(towards - Wipro Gate)","12.84182338","77.64695361"
"10954","Ajmmera Green Acres Apartments BGT Road","12.86791437","77.59343684"
"4818","Akkayamma Betta(towards - Vidyanagara)","13.16164663","77.64226713"
"5828","Akkayammana Betta(towards - Meesaganahalli)","13.16161725","77.64223092"
"11923","Akki Thimmanahalli(towards - Nanjappa Circle)","12.96200376","77.59783097"
"4360","Akkithimmana halli","12.96220111","77.59655625"
"9072","Akkupet(towards - Kundana)","13.25092154","77.70126700"
"9071","Akkupete(towards - Devanahalli)","13.25110820","77.70110875"
"1690","Akshayanagara(towards - B  Channasdra)","13.02067996","77.68353782"
"1759","Akshayanagara(towards - TC Palya)","13.02072222","77.68338951"
"11867","Akshayanagara (Tambuchettypalya)(towards - Last Bus Stop)","13.02070682","77.68604949"
"10950","Aksyanagar New Town Chartered","12.87662950","77.61077464"
"6876","AL Ameena Recidential School(towards - Kattagenahalli Gate)","13.06983227","77.80831933"
"6875","AL Ameena Recidential School(towards - Hosakote)","13.06949785","77.80819058"
"3817","Aladamara Chikkanahalli Cross(towards - Indlavadi)","12.72795701","77.64801078"
"3818","Aladamara Chikkanahalli Cross(towards - Aduru)","12.72808800","77.64803603"
"5661","Aladamara Laggere(towards - Laggere New Bus Stand)","13.01324786","77.52097428"
"5660","Aladamara Laggere(towards - Laggere Cross)","13.01325896","77.52090857"
"2004","Aladamara Papareddy Palya(towards - Kottigepalya)","12.97501514","77.50938949"
"2003","Aladamara Papareddy Palya(towards - Kengeri)","12.97511092","77.50958039"
"6846","Alambadi(towards - Malur Road)","12.89272806","77.88659424"
"6845","Alambadi(towards - Chikka Tirupathi)","12.89269538","77.88656138"
"11946","Alanayakanahalli Gate(towards - Thyamagondlu)","13.18078088","77.32404515"
"11947","Alanayakanahalli Gate(towards - Jakkanahalli Cross)","13.18088664","77.32413165"
